id,category,severity,version,message,xpath,rule type, sub rule type 
1.1.3,identifiers,error,2.01,"The activity identifier must be different to the organisation identifier of the reporting organisation.",//iati-activity,unique, 
1.1.21,identifiers,warning,2.01,"The activity identifier should begin with your IATI organisation identifier (either the current IATI Organisation identifier for the reporting organisation or a previous version included in other-identifier element) followed by a unique string for the activity separated by a hyphen",//iati-activity,startswith, 
1.14.8,identifiers,warning,2.01,"The reporting organisation id must start with an approved agency code.",//iati-activity,startswith, 
6.11.1,information,error,2.01,"The activity must have a planned start date or an actual start date.",//iati-activity,atleast_one, 
6.2.2,classifications,error,2.01,"Each activity must have a specified sector, either at activity level OR for all transactions.",//iati-activity,atleast_one, 
4.1.1,information,error,2.01,"The activity should specify a default language OR the language must be specified for each narrative element.",//iati-activity,one_or_all, 
6.7.2,classifications,error,2.01,"If sector is declared at transaction level, a sector must be declared for all transactions.",//iati-activity,one_or_all, 
7.8.1,financial,error,2.01,"The activity should specify a default currency OR the currency must be specified for each monetary value.",//iati-activity,one_or_all, 
11.1.1,information,error,2.01,"The last updated datetime of the activity must not be in the future.",//iati-activity,date_now, 
11.1.2,iati,error,2.01,"The planned start date of the activity must be before the planned end date.",//iati-activity,date_order, 
11.1.3,iati,error,2.01,"The actual start date of the activity must be before the actual end date.",//iati-activity,date_order, 
11.1.4,iati,error,2.01,"The actual start date of the activity must not be in the future.",//iati-activity,date_order, 
11.1.5,iati,error,2.01,"The actual end date of the activity must not be in the future.",//iati-activity,date_order, 
11.2.1,financial,error,2.01,"The transaction date must not be in the future.",//iati-activity,date_order, 
11.2.2,financial,error,2.01,"The transaction value date must not be in the future.",//iati-activity,date_order, 
1.3.13,identifiers,warning,2.01,"The iati-identifier must not contain any of the symbols /, &, | or ?.",//iati-activity,regex_matches, 
1.14.13,identifiers,warning,2.01,"The reporting-org identifier must not contain any of the symbols /, &, | or ?.",//iati-activity,regex_matches, 
1.3.1,identifiers,warning,2.01,"The iati-identifier should not start or end with spaces or newlines.",//iati-activity,no_spaces, 
1.14.1,identifiers,warning,2.01,"The reporting-org identifier should not start or end with spaces or newlines.",//iati-activity,no_spaces, 
1.16.1,identifiers,warning,2.01,"The previous reporting organisation identifier should not start or end with spaces or newlines.",//iati-activity,no_spaces, 
1.6.1,identifiers,warning,2.01,"The previous activity identifier should not start or end with spaces or newlines.",//iati-activity,no_spaces, 
1.7.1,relations,warning,2.01,"The related activity identifier should not start or end with spaces or newlines.",//iati-activity,no_spaces, 
4.4.1,information,error,2.01,"The description must contain narrative content.",//iati-activity,loop,if_then 
2.1.2,classifications,error,2.01,"Percentage values for sectors, within a vocabulary (e.g. 1 - OECD DAC), must add up to 100%.",//iati-activity,loop,strict_sum 
3.4.1,geo,error,2.01,"When multiple recipient countries or regions are declared, each must have a percentage.",//iati-activity,loop,if_then 
3.4.4,geo,error,2.01,"When a single recipient region in a vocabulary is declared, the percentage must either be omitted, or set to 100.",//iati-activity,loop,if_then 
3.4.2,geo,error,2.01,"Percentage values for recipient countries or regions, must add up to 100%.",//iati-activity,loop,strict_sum 
2.1.1,classifications,error,2.01,"When multiple sectors, within a vocabulary (e.g. 1 - OECD DAC) are declared, each must have a percentage.",//iati-activity,loop,if_then 
2.1.4,classifications,error,2.01,"When a single sector is declared, the percentage must either be omitted, or set to 100.",//iati-activity,loop,if_then 
2.1.2,classifications,error,2.01,"Percentage values for sectors, within a vocabulary (e.g. 1 - OECD DAC), must add up to 100%.",//iati-activity,strict_sum, 
